Episode,Success,Reward,EpisodeLength,Collisions,InferenceTime(ms),StartX,StartY,GoalX,GoalY
1,1,186.78025003574868,13,7,0.35686427145265043,-5.240707458162173,0.8845845059190367,-2.6008966690384145,2.0784007719238886
2,1,203.26112878069506,3,0,0.3377000102773309,2.7813628108832393,-6.987671519529521,3.428229507391851,-8.719371235460054
3,1,215.57594861949715,7,0,0.28147498960606754,5.164604925736347,1.8219916586263523,4.376478481316061,7.576256005109634
4,1,218.89853316135657,10,0,0.2884454496035522,4.28258967222405,8.42197335167749,-1.1075788789847874,8.71173443409042
5,1,247.03289100419792,36,3,0.2894972976473336,7.577333206760834,-8.050913805382455,-7.280622795986622,-5.660261175337253
6,1,206.8692636432103,3,0,0.2891000040108338,2.5329658173360787,-3.9794760314898925,3.4254708432503644,-6.738007560578605
7,1,265.89366193996534,32,0,0.2737242418030898,8.093919690244732,1.3821500694864692,-8.229638137805432,6.011906425150038
8,1,227.5191382352961,13,0,0.26987142960674,-1.7907634530818228,-6.984692510943809,4.368809548970326,-3.3809170796198496
9,0,-336.52543561301957,200,137,0.2667630001087673,0.10840747296088082,9.970178907515532,-6.052302871431612,-1.8412772876601835
10,1,227.53946816618023,13,0,0.26801428092377527,2.2093424593468303,-6.876020179728705,7.933192828552031,-2.4442152117563465
11,1,217.11696486238162,9,0,0.277960003586486,2.8777743677545367,1.9130047680394107,-1.3761689313813452,4.406225042882767
12,1,236.2051473706543,23,2,0.27928333535480004,-5.247287610704319,-3.9782627765170115,0.9686093537372447,-9.770850272715618
13,1,225.55027287948195,13,0,0.2757285671707775,-1.6957931239223605,1.5993042759413107,-9.598942193908012,2.3159588261251347
14,1,226.41226001941587,17,1,0.28418333386071026,2.54682218021912,-0.6749914060658426,4.13900498731798,4.760685785040685
15,1,227.12081119564846,12,0,0.29357692423778087,-4.977554436330596,-0.8737574072724144,1.8534375133297836,-3.5994922850398687
16,1,234.31556354217713,14,0,0.27676666698729,-2.7208982132008614,-3.7465867760617844,6.076153407898268,-5.226096462043161
17,1,249.5276936556973,24,1,0.265943999402225,-6.252113181641161,-1.2953135893435803,3.9613281334969983,-7.96316614736257
18,1,237.60242158144052,32,4,0.2954484891343975,-3.56068030757471,-3.3249269910264934,6.670777831146175,-1.2313853487722604
19,1,275.62404296400615,42,2,0.28304883879934284,-5.499443145542305,-7.581613505794271,6.135544752509148,6.76952758056451
20,1,260.9940260266558,36,2,0.27237567622717973,-6.328273733894885,-4.428157159669748,6.144528363339074,2.838745129933063
21,1,239.22902480534998,39,6,0.2804625066346489,6.125156822701101,-3.094343902248033,-7.4062172440778635,-4.161142182588932
22,1,273.13272984191326,47,3,0.2804583285372549,5.877238489683297,-4.576510121714952,-9.906764108337088,8.865356718382177
23,1,264.8368209974203,33,1,0.2718852980144541,-1.3129537464869774,9.003223327660457,8.54754428822677,-5.558185274553575
24,1,270.5882310990886,41,1,0.28060714525747155,4.910460182528382,6.733973585572905,-4.219163277169907,-3.17862571929334
25,1,226.69576623732905,27,4,0.2852678506834699,-5.4506732729776015,-8.638647517862754,1.7735543803817233,-4.259776455164506
26,1,216.289167227289,7,0,0.2781000148388557,8.072185636006843,3.8741121459450962,8.47709599114484,7.931343299680972
27,1,273.53205586362424,38,0,0.2772820507510541,7.99349672047596,1.539068080389029,-6.563568189265259,-4.002238625430136
28,1,253.14359252635984,24,0,0.2823719987645745,-1.724991045408455,8.780849265021796,2.2432781925182503,-3.1729468516400967
29,1,257.67001063367763,32,1,0.279763637632696,-4.950503115059379,7.233294329193342,-2.9631673960681004,-6.053326558735814
30,1,219.70418580638815,25,5,0.2798884636901605,0.6927408110555415,6.336216944338457,-6.5739547849511215,5.833438377642457
31,1,200.58465116414698,12,4,0.29495384436673844,-4.628277775930004,0.5453235685336626,-1.5403199119906361,-0.5419997389441491
32,1,289.9118965884444,48,2,0.27732653614627767,-7.507475309098766,-8.631666230736235,9.49385062351988,7.0889786947845295
33,1,218.37096635055238,8,0,0.2861555549316108,-8.277439845293085,0.04240013509862628,-3.682075119459382,-3.708403993878493
34,1,229.69648793937188,28,4,0.2907275860518988,1.7322624182877266,-2.783308287720314,-6.178359987136313,-3.4244739370495587
35,1,257.7205429283094,35,2,0.273088893866063,-7.524899523316311,1.1105188732577727,4.320856440520206,-2.3952387578349255
36,1,240.33873806580732,18,0,0.2890263108144465,-8.401975398252286,-6.428877108847864,-2.5345084874603385,2.0886973515557017
37,1,250.16866223930901,26,0,0.27512962912657746,5.6524366947000715,-2.394706362981138,-1.5897220447228815,3.8824642327864307
38,1,211.15590930935122,17,4,0.2703833290272289,0.7167476818100749,3.903382955476946,-4.756405484460151,-0.7171357139117447
39,1,256.94242253975045,30,1,0.2795451606113103,-7.537079015513964,6.264434118796508,5.849387701813809,3.3512315315946104
