Episode,Success,Reward,EpisodeLength,Collisions,InferenceTime(ms),StartX,StartY,GoalX,GoalY
1,0,197.78929678300403,200,1,0.27026899973861873,8.724730489412764,8.659556670585516,8.951785725948362,3.2802940944152787
2,0,99.90119446813479,200,23,0.26511400035815313,-7.491363453612385,-4.6021633912605235,-4.458476085441991,-7.322718423929775
3,0,189.84285278385184,200,9,0.2635355007078033,-7.524983001123848,-6.234038003275286,8.40507934212351,-8.628590623261669
4,0,222.5181510757297,200,0,0.26256399985868484,5.396635556551082,-9.480438485027749,4.876515342301387,6.768487057723547
5,0,215.63223470922367,200,0,0.26624449907103553,8.947656834426102,7.7276186006089915,9.024242357724674,-3.35605487849981
6,0,55.253521535909,200,33,0.2793659991584718,9.9399061412512,9.476413751883971,6.623593630656444,9.194574339739983
7,0,205.17095849530708,200,0,0.2618439993239008,-6.315854542296904,6.877787889469673,-2.565867435838527,0.20407744126132066
8,0,237.12135468884028,200,0,0.2722884983813856,8.44606565670357,1.5020706953961742,-7.98858892860258,-8.31940693893163
9,0,88.26036577507656,200,21,0.2639495003677439,2.847757554156807,0.7757500387169962,-3.271407694397041,9.16004131228377
10,0,236.50722215193744,200,0,0.2661179991264362,-6.254466002899475,8.500393883039749,8.610519572141676,-3.6703965765691375
11,0,130.91374568883552,200,20,0.26709000041591935,2.99972055018811,2.1542728517514256,-9.153959093165405,5.31767432098707
12,1,200.0,0,0,0.3073000116273761,-7.005641715785242,-9.821885014534162,-6.3645991754641384,-9.420221091496355
13,0,221.01278513037673,200,0,0.2635935005673673,8.793026155055909,-1.7875959333748206,-8.428493278410333,5.509598995291128
14,0,161.17774848384875,200,13,0.2659329996095039,-0.1156209407349067,-6.032882861350233,9.022644550673107,3.0557353685135986
15,0,236.72047873419731,200,0,0.263846500456566,1.0185895893911212,8.159349216017013,-6.805274301381042,-8.684727072559475
16,0,232.27603582699982,200,0,0.27015249885153025,7.6695269352779825,-3.9230299855918176,-9.892661722413024,-8.64189154269053
17,0,209.41727011708042,200,0,0.2665500000875909,9.46719340237133,-2.787309498639541,-1.2527644053812779,-3.544425040976156
18,0,233.60187230118157,200,0,0.2649330002896022,3.5603782522714162,8.864100279827845,-1.637319534635001,-7.934756111401462
19,0,202.27821235959678,200,0,0.26363450015196577,-6.511507985092657,-4.886672496795463,-8.272711749245174,4.715219329278293
20,0,224.90229690759622,200,0,0.2644290005264338,3.3954333415494062,-9.740213841177576,5.392735056151709,6.817146045052251
21,0,-582.2747952349266,200,188,0.27172900168807246,2.1370918970583936,-1.0907846299456772,8.567071289967895,-2.2875110560630514
22,0,119.47606523000397,200,22,0.2635060003376566,-8.506853573485763,0.5359849617251911,-5.71775279450446,-7.950928009958407
23,0,196.2877719011257,200,0,0.26173949969233945,-0.8549821048564645,6.230993290476839,1.9859152106857625,9.46352321338685
24,0,129.26607700792079,200,19,0.2642839992768131,6.23206272032947,-7.429644854953099,9.742169493148953,2.289475718370852
25,0,218.93234984106107,200,0,0.26331049884902313,9.363531054916528,5.368399825134507,4.694201398799558,-6.303563284250158
26,0,166.7207830091265,200,6,0.262646999763092,-8.49241856118665,-7.867663454828316,-7.608382798175787,-9.423665294414088
27,0,213.0329703116562,200,0,0.26203849993180484,6.7626485220995605,6.605770408069294,-2.4013839873601217,0.5216338085554995
28,0,86.73606678824325,200,28,0.2633115010394249,2.7802885917276754,-2.07414535077739,8.593100626155994,3.8766735734466877
29,0,219.51063799907203,200,0,0.26410499835037626,-5.722189850435251,9.96215072817288,-9.563431822020316,-2.134239357727994
30,0,213.43459973875932,200,0,0.2631835002102889,4.134466600433367,8.017375822716051,-8.74879925066564,8.764492966575194
31,0,223.36839628142556,200,0,0.2650390005146619,8.512741246787407,2.3949587741064153,-7.09464826706218,1.2306498546116948
32,0,117.74490368214069,200,16,0.2621680013544392,-5.98145648341956,-7.525542743673002,-6.533467207378722,-9.664083795595497
33,0,-393.20369069059427,200,154,0.26306400119210593,6.9865597256553755,-0.7732275950588239,7.018543785556247,6.168831559237194
34,0,196.36500618971652,200,0,0.2603110000200104,-9.97478795619826,-6.411656112538482,-5.334441268558276,-4.427234926490444
35,0,241.6212268428777,200,0,0.2657824986090418,9.101271482093065,-9.828910626247144,-4.440267179630986,8.702400157239797
36,0,201.82358570743475,200,0,0.2628485001332592,7.3818998844279236,7.220089096628804,-0.35367542455991874,6.960188808045157
37,0,210.36350993692707,200,0,0.26078299910295755,-4.212821924296717,7.857615633239149,-7.746502866284786,-0.7175059956866789
38,0,212.89106386887514,200,0,0.2679139992687851,4.875077766575416,-8.61724473544675,-5.856573316889215,3.5924208407252145
39,0,207.18715761031814,200,1,0.2672105022065807,-8.987490444937237,-7.4463378085022125,1.681345370667124,-9.232237328264102
40,0,90.11772850068115,200,25,0.2712865003559273,6.829191706175401,8.529630234832915,8.543556097072699,4.756261893343591
41,0,178.27410256033238,200,7,0.272868500178447,2.167399484095336,-3.0285920393241987,2.006051193719621,7.393682307362482
42,0,164.71347357564503,200,3,0.2681499993195757,-5.14566883566248,-8.074575464032996,-9.332868270982424,-5.7810190892378195
43,0,233.9207757263264,200,0,0.26865599866141565,9.851926825378076,1.4838247604632784,-6.737951377133962,-6.2833250402012775
44,0,205.68442468349878,200,0,0.26915650101727806,-9.398689680456204,9.313961169916517,-0.7696646015755384,8.259200370886582
45,0,221.39879518535867,200,0,0.2729094996175263,-3.3257274870399094,-7.64802379342852,6.374358153952279,3.234321851016574
46,0,238.18297203929825,200,0,0.26696549757616594,-9.858810654710313,7.749362846075524,8.614805116305192,0.814530730071537
47,0,226.49318863416988,200,0,0.3059299993037712,-6.127899085557922,-9.132790286630852,-7.7443999670335195,8.846765679629478
48,0,89.53307943164108,200,27,0.26676100023905747,-3.799973008406292,8.46434134763783,-9.624511482878969,7.509407819055479
49,0,141.0545750607921,200,12,0.2696444990579039,-0.41445551292531313,-7.597438895135522,0.8223860457682957,-6.7048571204415985
50,0,70.28720857955958,200,30,0.2719920003437437,6.335634723386761,9.085299021131007,9.774152661747713,9.865036025361125
51,0,216.0359462538091,200,0,0.2722914998594206,9.34641849676892,6.708289806132207,-0.13515069666989277,-0.5615606654938166
52,0,187.30055123982936,200,6,0.26877300057094544,-2.6824617324650486,-1.351663845009078,4.456181261484378,7.544936141260777
53,0,29.14052960427716,200,38,0.291744500718778,8.428768789688004,1.0275541524388814,9.683763483302002,1.7844553387479483
54,0,219.37311795893012,200,0,0.2700929998536594,-9.629248379808427,0.396669597959999,0.4717139792172187,9.591172480655477
55,0,209.17042535657708,200,0,0.28273149975575507,9.706262250213062,-1.2851035958873105,1.5114618319096742,-6.17152623272707
56,0,182.98335074484004,200,0,0.2691769998637028,6.986913953184768,-9.47517034010161,6.761191219516849,-4.165483034533488
57,0,212.4376929975057,200,0,0.2686080003331881,-8.526076191893438,9.609541935092277,2.2274077442751157,7.7792340934836695
58,0,225.67904741232886,200,0,0.26962350064422935,-6.574710296937858,1.0883350878712292,8.827836849926157,1.201481472594887
59,0,160.51245852452845,200,14,0.27133050112752244,8.08645041831874,0.5645417713864234,-9.589470045390257,4.238831812692972
60,0,159.96315983956578,200,7,0.2679069999430794,6.875599259192697,-9.657116580216778,8.090212737674879,-7.823469339185413
61,0,200.1031838915201,200,0,0.26669049955671653,-4.341179859146147,6.7287467332695385,2.4636632426568674,7.315036188833865
62,0,217.0344565377582,200,0,0.2755840001918841,3.4232657101556523,8.43516467581998,-2.0437574002618035,-1.9255733448788366
63,0,208.66372039904726,200,0,0.2703670001938008,9.008922969468845,-4.899587427974446,-0.40133102482231564,-7.832024135602986
64,0,-531.1626020742011,200,166,0.27142050050315447,2.0389083307690274,-9.695291149352471,6.983669727454931,-8.516605194690655
65,0,224.36605681335817,200,0,0.2799814994796179,9.936948528583756,-4.240550084917234,-6.936096654670417,-5.928242294740189
66,0,204.81072324784427,200,0,0.2687095000874251,-8.609176796931102,0.8082427199207842,-2.4842830867883503,6.71973184108402
67,0,63.68967808096825,200,31,0.26884749851888046,-2.4103713925031762,-8.90176349207869,-0.6902900059193229,-8.836512471496011
68,0,217.48359189422584,200,0,0.2701630002411548,2.4107828305607875,-7.734768293144445,-2.679372639494966,7.135530442601251
69,0,241.54565451796938,200,0,0.27108949987450615,8.948321512916888,5.780517694858441,-7.4858629574411895,-6.684510920589666
70,0,230.89389308680146,200,0,0.27264099961030297,-3.2069090505437714,9.505571470430567,-8.50872637921072,-6.302784106700869
71,0,96.03174099688873,200,28,0.269168999948306,6.11940811142761,-8.383565358160203,9.174173031831668,2.7345421528687055
72,0,204.61228061744086,200,0,0.2672705006261822,9.779199674538884,-7.504243773204388,1.3902734782799175,-9.214577053680724
73,0,167.11871093815574,200,7,0.3586134986835532,-0.75311308772865,-5.941537424915941,0.32431936557680885,-9.163032783244018
74,0,138.83731611261302,200,7,0.2850954988389276,-8.269725069545624,-0.12751070689676958,-9.757624831976564,3.519461071332872
75,0,-29.95730264090109,200,54,0.2667079989623744,-2.346436587851308,7.683362625903939,-5.562550112721636,9.595348455040146
